Sample,Age,Lat,Lon
Altai Neanderthal,50000,52.766667,82.616667
Kostenki14,38700,51.4,39.033333
Denisovan,30000,52.766667,82.616667
Ust-Ishim,45000,57.6925892,71.1320889
Malta,24000,54.008056,103.048889
Clovis-Anzick-1,12500,45.993056,-110.661389
Kennewick Man,8340,46.203611,-119.159167
La Braña-Arintero,7000,42.605556,-5.57
Otzi,5300,46.780278,10.831667
Ajvide58,5000,57.3,18.33
Gökhem2,5000,58.173611,13.4075
Palaeo-Eskimo,4000,69.247222,-53.533333
Hinxton-4,2000,52.038,0.183
Hinxton12880,1300,52.038,0.183
Hinxton2,1300,52.038,0.183
Hinxton-5,1300,52.038,0.183
Aboriginal,100,30.85,121.65
ALB3,4474,47.93,21.2
BAM25,7725,41.252,-2.326
BAR2_L11-213,8415,51.42,11.68
BAR20/ M13-170,8415,51.89,11.04
BAR26_M10-76,8415,51.89,11.04
BAR271_M10-271,8415,51.42,11.68
BAR6_L11-439,8415,51.66,11.53
BAR99_M10-352,8415,51.42,11.68
BZH12,4219,51.82,10.91
BZH15,4515,40.3,29.567
BZH2,4515,51.89,11.04
BZH6,4301,51.82,10.91
ESP11,4488,42.333,-3.5
ESP14,4815,42.333,-3.5
ESP16,4581,42.333,-3.5
ESP17,4515,42.333,-3.5
ESP2,4146,42.333,-3.5
ESP20,4515,47.167,19.833
ESP22,4469,42.333,-3.5
ESP24,5375,42.333,-3.5
ESP25,4588,47.167,19.833
ESP26,4469,42.333,-3.5
ESP28,4515,47.167,19.833
ESP29,4214,42.333,-3.5
ESP3,3946,42.333,-3.5
ESP30,5902,42.333,-3.5
ESP32,4515,47.52,21.589
ESP33,4515,48.52,21.168
ESP36,4515,47.167,20.833
ESP4,4133,42.333,-3.5
ESP8,4515,42.333,-3.5
EUL41,4130,40.3,29.567
EUL57,4146,40.3,29.567
HAL14,7221,40.3,29.567
HAL16,4037,40.3,29.567
HAL19,7515,50.918,16.957
HAL2,7094,50.98,17.068
HAL24,7049,50.948,16.943
HAL25,7221,40.3,29.567
HAL34,7222,46.78,10.83
HAL36C,3128,49.81,6.4
HAL4,7047,59.408,27.026
HAL5,7221,40.3,29.567
HUNG276_KO2,7728,53.38,50.38
HUNG302_NE2,7306,51.52,11.852
HUNG345a_KO1,7796,42.911,-5.378
HUNG347_NE7,6506,53.08,50.36
HUNG352_NE6,7221,53.08,50.36
HUNG353_CO1,4918,53.66,50.67
HUNG370_BR1,4209,52.22,48.1
HUNG372_NE5,7310,52.22,48.1
HUNG381_BR2,3281,51.79,11.14
HUNG86_NE3,7296,40.3,29.567
Iceman,5374,53.38,50.39
KAR16A,7515,40.3,29.567
KAR22A,4579,40.3,29.567
KAR6,7222,40.3,29.567
L11-215,8415,51.89,11.04
L11-216,8415,51.89,11.04
L11-322,8415,61.65,35.65
L11-S-488,8415,51.42,11.68
L12-393,8515,51.42,11.68
L12-502,8415,51.42,11.68
L14-200,8415,51.42,11.68
LB1,7955,49.967,44.667
LBK1976,7515,40.26,29.65
LBK1992,7515,40.3,29.567
LBK2155,7515,40.3,29.567
Loschbour,8235,51.168,11.848
M10-275,8415,51.82,10.91
M11-351,8415,51.45,11.54
M11-352a,8415,51.45,11.54
M11-354,8415,51.79,11.14
M11-363,8415,51.45,11.54
M11-59,8415,51.45,11.63
M11-S-350,8415,51.79,11.14
M13-72,8415,51.42,11.68
Mina18,5915,51.79,11.14
Mina3,5915,52.22,48.1
Mina4,5915,53.4,50.4
Mina6,5915,53.31,51.15
MIR1,4775,51.42,11.68
MIR11,4775,46.4,18.74
MIR13,4775,61.65,35.65
MIR14,4845,52.42,48.24
MIR17,4775,48.1,54.44
MIR18,4910,53.14,50.01
MIR19,4775,53.14,50.01
MIR2,4895,46.2,18.7
MIR21,4775,53.169,50.284
MIR22,4775,52.43,51.16
MIR24,4775,53.03,50.39
MIR25,4775,53.38,50.39
MIR26,4775,53.03,50.39
MIR5_MIR6,5025,51.82,10.91
Motala1,7913,50.19,14.158
Motala12,7913,56.676,10.034
Motala2,7913,50.19,14.158
Motala3,7913,50.16,14.311
Motala4,7913,48.799,17.022
Motala6,7913,55.703,11.855
PF325_NE1,7321,42.333,-3.5
PF839_1198_NE4,7226,51.79,11.14
QLB15D,5660,51.42,11.68
QLB18A,5655,51.42,11.68
QLB26,4375,51.42,11.68
QLB28,4311,51.42,11.68
QUEVIII6,4027,51.42,11.68
QUEXII4,4305,51.42,11.68
QUEXII6,4355,51.42,11.68
RISE109,3969,48.78,9.18
RISE150,3900,58.535,15.046
RISE154,3940,58.535,15.046
RISE175,3410,58.535,15.046
RISE179,4025,58.535,15.046
RISE210,3447,58.535,15.046
RISE240,4895,52.54,50.5
RISE247,3761,53.38,50.39
RISE254,4143,53.74,49.38
RISE276,2809,48.663,12.707
RISE349,4049,42.5,0.5
RISE371,4151,42.5,0.5
RISE373,3901,42.5,0.5
RISE374,3881,42.5,0.5
RISE386,4313,46.356,20.985
RISE391,4135,40.3,29.567
RISE392,4141,46.539,43.699
RISE394,3964,46.22,20.199
RISE395,3975,52.453,55.16
RISE431,4301,55.397,13.6
RISE434,4895,51.273,11.656
RISE435,4878,51.283,11.65
RISE436,4883,51.168,11.848
RISE446,4844,51.79,11.14
RISE47,3514,50.118,14.258
RISE486,4149,41.252,-2.326
RISE487,5498,41.252,-2.326
RISE489,4923,41.252,-2.326
RISE503,3742,54.584,90.775
RISE505,3761,54.584,90.775
RISE507,5337,47.319,21.527
RISE508,5346,51.45,11.54
RISE509,4902,46.539,43.699
RISE510,4866,46.556,43.676
RISE511,4924,46.615,43.334
RISE512,3461,48.78,9.18
RISE547,4902,53.169,50.284
RISE550,5349,52.54,50.5
RISE552,4864,53.12,48.37
RISE555,4872,40.26,29.65
RISE61,4866,48.33,10.895
RISE71,4211,48.691,13.016
RISE94,4636,48.691,13.016
RISE97,4040,48.33,10.895
RISE98,4290,48.716,44.5
ROT1,4360,47.88,21.192
ROT3,4309,47.167,20.833
ROT4,4429,47.88,21.192
ROT6,4512,47.82,19.95
SALZ3B,5415,51.42,11.68
Stuttgart_LBK,7015,40.3,29.567
SVP1,4031,50.593,56.83
SVP10,5315,40.3,29.567
SVP11,4890,45.26,10.379
SVP12,3865,51.89,11.04
SVP16_NIK7,4815,51.792,11.147
SVP24,4140,47.341,18.896
SVP25,3865,48.17,10.814
SVP26,3865,47.341,18.896
SVP27,4215,47.341,18.896
SVP29,3865,48.932,12.259
SVP3,4925,47.327,18.962
SVP30,3865,46.22,20.199
SVP31,3865,46.22,20.199
SVP32,3865,56.97,9.552
SVP35,7215,55.397,13.6
SVP38,5354,53.456,85.447
SVP39,3865,48.932,12.259
SVP40,3865,48.932,12.259
SVP41,4215,47.341,18.896
SVP42,4940,85.447,53.456
SVP44,7665,51.498,85.97
SVP46,7215,55.997,14.107
SVP47,7215,46.58,43.678
SVP5,5105,53.456,85.447
SVP50,5036,45.26,10.379
SVP51,4882,45.26,10.379
SVP52,5320,51.498,85.97
SVP53,4900,46.539,43.699
SVP54,5025,47.327,18.962
SVP56,2395,55.914,11.565
SVP57,5315,53.456,85.447
SVP58,5315,50.009,10.18
SVP6,3928,53.876,59.076
SVP7,3865,52.453,55.16
SVP8,3865,52.637,59.536
SVP9,3865,52.143,16.538
SZEH4,7225,42.5,0.5
Troc1,7326,53.03,50.39
Troc3,7193,53.03,50.39
Troc4,7192,53.03,50.39
Troc5,7325,51.27,58.18
Troc7,7318,53.34,50.34
UWS4,7224,51.42,11.68
UzOO40,7015,55.381,13.445
UzOO74,7515,55.557,13.059
